Order;Family;Taxa;Aquatic passive;Aquatic active;Aerial passive;Aerial active;Dispersal category;Medium;Mode
Diptera;Culicidae;Culex_impudicus;0;0;2;3;Aerial_active;Aerial;Active
Odonata;Coenagrionidae;Coenagrion_mercuriale;2;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Dytiscidae;Deronectes;2;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Haliplidae;Haliplus_lineatocollis;1;1;0;3;Aerial_active;Aerial;Active
Ephemeroptera;Baetidae;Cloeon;1;2;1;2;Aerial_active;Aerial;Active
Diptera;Simuliidae;Simulium_intermedium;2;2;3;1;Aerial_passive;Aerial;Passive
Diptera;Chironomidae;Psectrocladius_schlienzi;0;0;1;1;Aquatic_passive;Aquatic;Passive
Coleoptera;Haliplidae;Haliplus_mucronatus;1;1;0;3;Aerial_active;Aerial;Active
Tubificida;Naididae;Nais_communis;2;2;0;0;Aquatic_active;Aquatic;Active
Rhynchobdellida;Glossiphoniidae;Helobdella_stagnalis;1;1;0;0;Aquatic_active;Aerial;Active
Diptera;Chironomidae;Cricotopus;1;0;1;1;Aquatic_passive;Aquatic;Passive
Ephemeroptera;Baetidae;Procloeon;1;2;1;2;Aerial_active;Aerial;Active
Diptera;Psychodidae;Pericoma_diversa;3;1;0;1;Aquatic_passive;Aquatic;Passive
Coleoptera;Elmidae;Riolus_cupreus;2;1;0;2;Aerial_active;Aerial;Active
Hemiptera;Corixidae;Corixa;0;3;1;3;Aerial_active;Aerial;Active
Tubificida;Naididae;Chaetogaster_cristallinus;2;2;0;0;Aquatic_active;Aquatic;Active
Ephemeroptera;Baetidae;Baetis_rhodani;3;2;1;3;Aerial_active;Aerial;Active
Hemiptera;Corixidae;Micronecta;3;1;0;0;Aquatic_passive;Aquatic;Passive
Diptera;Culicidae;Culex_mimeticus;0;0;2;3;Aerial_active;Aerial;Active
Ephemeroptera;Heptageniidae;Electrogena;3;1;1;3;Aerial_active;Aerial;Active
Trichoptera;Leptoceridae;Mystacides_azureus;1;1;1;2;Aerial_active;Aerial;Active
Coleoptera;Dryopidae;Dryops;0;1;0;3;Aerial_active;Aerial;Active
Diptera;Chironomidae;Rheopelopia;1;1;1;1;Aerial_active;Aerial;Active
Diptera;Chironomidae;Polypedilum_nubeculosum;1;0;0;1;Aerial_passive;Aerial;Passive
Diptera;Chironomidae;Parametriocnemus_stylatus;1;0;1;1;Aquatic_passive;Aquatic;Passive
Rhynchobdellida;Glossiphoniidae;Helobdella;1;1;0;0;Aquatic_active;Aquatic;Active
Diptera;Limoniidae;Molophilus_obscurus;0;1;0;1;Aerial_active;Aerial;Active
Coleoptera;Dytiscidae;Hydroporus;0;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Haliplidae;Peltodytes;0;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Dytiscidae;Agabus_didymus;1;1;0;3;Aerial_active;Aerial;Active
Odonata;Platycnemididae;Platycnemis_acutipennis;1;1;0;3;Aerial_active;Aerial;Active
Diptera;Psychodidae;Pneumia_trivialis;3;1;0;1;Aquatic_passive;Aquatic;Passive
Trichoptera;Polycentropodidae;Polycentropus_kingi;1;1;1;2;Aerial_active;Aerial;Active
Tubificida;Naididae;Limnodrilus_hoffmeisteri;2;2;0;0;Aquatic_active;Aquatic;Active
Diptera;Chironomidae;Corynoneura_lacustris;1;0;1;1;Aquatic_passive;Aquatic;Passive
Diptera;Chironomidae;Psectrotanypus_varius;1;0;0;1;Aquatic_passive;Aquatic;Passive
Odonata;Libellulidae;Crocothemis_erythraea;0;1;0;3;Aerial_active;Aerial;Active
Tubificida;Naididae;Bothrioneurum_vejdovskyanum;2;2;0;0;Aquatic_active;Aquatic;Active
Odonata;Coenagrionidae;Erythromma_lindenii;0;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Dytiscidae;Agabus_brunneus;1;1;0;3;Aerial_active;Aerial;Active
Odonata;Gomphidae;Onychogomphus;2;1;0;3;Aerial_active;Aerial;Active
Hemiptera;Veliidae;Microvelia_pygmaea;1;2;1;1;Aquatic_active;Aquatic;Active
Diptera;Simuliidae;Simulium;2;2;3;1;Aerial_passive;Aerial;Passive
Tubificida;Naididae;Chaetogaster;2;2;0;0;Aquatic_active;Aquatic;Active
Diptera;Chironomidae;Macropelopia_nebulosa;1;0;0;1;Aquatic_passive;Aquatic;Passive
Tubificida;Naididae;Nais;2;2;0;0;Aquatic_active;Aquatic;Active
Plecoptera;Leuctridae;Leuctra_alosi;2;2;0;1;Aquatic_active;Aquatic;Active
Diptera;Simuliidae;Simulium_pseudequinum;2;2;3;1;Aerial_passive;Aerial;Passive
Diptera;Chironomidae;Paracricotopus;1;0;1;1;Aquatic_passive;Aquatic;Passive
Plecoptera;Perlodidae;Isoperla_grammatica;2;2;0;2;Aerial_active;Aerial;Active
