Group;Family;Taxa;Aquatic passive;Aquatic active;Aerial passive;Aerial active;Dispersal category;Medium;Mode
Coleoptera;Dytiscidae;Meladema;1;1;0;3;Aerial_active;Aerial;Active
Trichoptera;Limnephilidae;Mesophylax;0;2;0;3;Aerial_active;Aerial;Active
Heteroptera;Corixidae;Micronecta;3;1;0;0;Aquatic_passive;Aquatic;Passive
Heteroptera;Veliidae;Microvelia;1;2;1;1;Aquatic_active;Aquatic;Active
Diptera;Limoniidae;Molophilus;0;1;0;1;Aerial_active;Aerial;Active
Diptera;Psychodidae;Mormia;3;1;0;1;Aquatic_passive;Aquatic;Passive
Trichoptera;Leptoceridae;Mystacides;1;1;1;2;Aerial_active;Aerial;Active
Heteroptera;Naucoridae;Naucoris;1;3;0;2;Aquatic_active;Aquatic;Active
Diptera;Stratiomyidae;Nemotelus;1;1;1;3;Aerial_active;Aerial;Active
Plecoptera;Nemouridae;Nemoura;2;2;0;2;Aerial_active;Aerial;Active
Heteroptera;Nepidae;Nepa;1;3;0;2;Aquatic_active;Aquatic;Active
Diptera;Ceratopogonidae;Nilobezzia;3;1;0;2;Aquatic_passive;Aquatic;Passive
Coleoptera;Noteridae;Noterus;0;1;0;3;Aerial_active;Aerial;Active
Heteroptera;Notonectidae;Notonecta;0;2;0;3;Aerial_active;Aerial;Active
Coleoptera;Hydraenidae;Ochthebius;1;1;0;3;Aerial_active;Aerial;Active
Oligochaeta;Naididae;Oligochaeta;1;1;0;0;Aquatic_active;Aquatic;Active
Odonata;Gomphidae;Onychogomphus;2;1;0;3;Aerial_active;Aerial;Active
Odonata;Libellulidae;Orthetrum;1;1;0;3;Aerial_active;Aerial;Active
Diptera;Chironomidae;Orthocladiinae;1;0;1;1;Aquatic_passive;Aquatic;Passive
Coleoptera;Elmidae;Oulimnius;2;1;0;2;Aerial_active;Aerial;Active
Diptera;Stratiomyidae;Oxycera;1;1;1;3;Aerial_active;Aerial;Active
Trichoptera;Hydroptilidae;Oxyethira;1;1;2;1;Aerial_passive;Aerial;Passive
Coleoptera;Hydrophilidae;Paracymus;0;1;0;3;Aerial_active;Aerial;Active
Diptera;Psychodidae;Paramormia;3;1;0;1;Aquatic_passive;Aquatic;Passive
Heteroptera;Corixidae;Parasigara;1;2;1;3;Aerial_active;Aerial;Active
Coleoptera;Haliplidae;Peltodytes;0;1;0;3;Aerial_active;Aerial;Active
Diptera;Chironomidae;Pentaneurini;1;1;1;2;Aerial_active;Aerial;Active
Diptera;Psychodidae;Pericoma;3;1;0;1;Aquatic_passive;Aquatic;Passive
Diptera;Psychodidae;Peripsychoda;3;1;0;1;Aquatic_passive;Aquatic;Passive
Trichoptera;Philopotamidae;Philopotamus;1;1;1;1;Aquatic_active;Aquatic;Active
Mollusca;Physidae;Physella;2;1;0;0;Aquatic_passive;Aquatic;Passive
Diptera;Limoniidae;Pilaria;1;1;0;1;Aerial_active;Aerial;Active
Odonata;Platycnemididae;Platycnemis;1;1;0;3;Aerial_active;Aerial;Active
Heteroptera;Pleidae;Plea;0;2;0;2;Aerial_active;Aerial;Active
Trichoptera;Polycentropodidae;Plectrocnemia;2;1;1;2;Aerial_active;Aerial;Active
Trichoptera;Polycentropodidae;Polycentropus;1;1;1;2;Aerial_active;Aerial;Active
Mollusca;Hydrobiidae;Potamopyrgus;3;2;2;0;Aquatic_passive;Aquatic;Passive
Diptera;Tipulidae;Prionocera;0;1;0;1;Aerial_active;Aerial;Active
Crustacea;Cambaridae;Procambarus;0;1;0;0;Aquatic_active;Aquatic;Active
Ephemeroptera;Baetidae;Procloeon;1;2;1;2;Aerial_active;Aerial;Active
Diptera;Chironomidae;Prodiamesa;0;0;0;0;Aerial_active;Aerial;Active
Diptera;Limoniidae;Pseudolimnophila;1;1;0;1;Aerial_active;Aerial;Active
Diptera;Psychodidae;Psychoda;3;1;0;1;Aquatic_passive;Aquatic;Passive
Diptera;Ptychopteridae;Ptychoptera;2;1;0;1;Aquatic_passive;Aquatic;Passive
Odonata;Coenagrionidae;Pyrrhosoma;2;1;0;3;Aerial_active;Aerial;Active
Mollusca;Lymnaeidae;Radix;2;1;0;0;Aquatic_passive;Aquatic;Passive
Coleoptera;Elmidae;Riolus;2;1;0;2;Aerial_active;Aerial;Active
Diptera;Psychodidae;Satchelliella;3;1;0;1;Aquatic_passive;Aquatic;Passive
Diptera;Sciomyzidae;Sciomyzidae;0;1;1;1;Aerial_active;Aerial;Active
Trichoptera;Sericostomatidae;Sericostoma;2;1;1;1;Aquatic_passive;Aquatic;Passive
Ephemeroptera;Ephemerellidae;Serratella;2;3;1;3;Aerial_active;Aerial;Active
Trichoptera;Leptoceridae;Setodes;1;1;1;2;Aerial_active;Aerial;Active
Megaloptera;Sialidae;Sialis;0;2;0;1;Aquatic_active;Aquatic;Active
Heteroptera;Corixidae;Sigara;1;2;1;2;Aerial_active;Aerial;Active
Diptera;Simuliidae;Simulium;2;2;3;1;Aerial_passive;Aerial;Passive
Plecoptera;Chloroperlidae;Siphonoperla;2;2;0;1;Aquatic_active;Aquatic;Active
Bivalvia;Sphaeriidae;Sphaerium;2;1;1;0;Aquatic_passive;Aquatic;Passive
Trichoptera;Hydroptilidae;Stactobia;1;1;2;1;Aerial_passive;Aerial;Passive
Mollusca;Lymnaeidae;Stagnicola;2;1;0;0;Aquatic_passive;Aquatic;Passive
Coleoptera;Dytiscidae;Stictonectes;1;1;0;3;Aerial_active;Aerial;Active
Diptera;Stratiomyidae;Stratiomys;1;1;1;3;Aerial_active;Aerial;Active
Odonata;Libellulidae;Sympetrum;1;0;0;3;Aerial_active;Aerial;Active
Diptera;Syrphidae;Syrphidae;0;1;1;3;Aerial_active;Aerial;Active
Diptera;Tabanidae;Tabanus;0;1;0;3;Aerial_active;Aerial;Active
Diptera;Dolichopodidae;Tachytrechus;0;0;1;1;Aerial_active;Aerial;Active
Diptera;Chironomidae;Tanytarsini;0;0;0;0;Aquatic_passive;Aquatic;Passive
Ephemeroptera;Leptophlebiidae;Thraulus;1;1;1;2;Aerial_active;Aerial;Active
Diptera;Psychodidae;Threticus;3;1;0;1;Aquatic_passive;Aquatic;Passive
Trichoptera;Psychomyiidae;Tinodes;2;1;1;1;Aquatic_passive;Aquatic;Passive
Diptera;Tipulidae;Tipula;0;1;0;1;Aerial_active;Aerial;Active
Diptera;Psychodidae;Tonnoiriella;3;1;0;1;Aquatic_passive;Aquatic;Passive
Plecoptera;Leuctridae;Tyrrhenoleuctra;2;2;0;1;Aquatic_active;Aquatic;Active
Diptera;Psychodidae;Ulomyia;3;1;0;1;Aquatic_passive;Aquatic;Passive
Heteroptera;Veliidae;Velia;1;3;0;1;Aquatic_active;Aquatic;Active
Heteroptera;Veliidae;Veliidae;1;3;0;1;Aquatic_active;Aquatic;Active
Trichoptera;Philopotamidae;Wormaldia;1;2;1;1;Aquatic_active;Aquatic;Active
Coleoptera;Dytiscidae;Yola;0;1;0;3;Aerial_active;Aerial;Active
